API_id,cosolvent_id,surfactant_id,oil_id1,API_prop,cosolvent_prop,surfactant_prop,oil_prop1,size,PDI,API_logp,API_sol,API_polar,o_LC,o_sat,s_HLB,c_viscosity
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCCCCCC(=O)OC(C)C,0.005,0.100,0.796,0.100,-0.587845802056292,0.21,1.79,0.0407,124.04,0,0,15,0
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCCCCCC(=O)OC(C)C,0.003,0.199,0.698,0.100,-0.43591820643536,0.32,1.79,0.0407,124.04,0,0,15,0
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC(=O)OCC(C)O,0.005,0.100,0.796,0.100,-0.319486421791319,0.244,1.79,0.0407,124.04,0,1,15,0
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC(=O)OCC(C)O,0.002,0.200,0.698,0.100,-0.148498818719761,0.272,1.79,0.0407,124.04,0,1,15,0
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC(=O)OCC(C)O,0.004,0.299,0.598,0.100,0.516046296125796,0.411,1.79,0.0407,124.04,0,1,15,0
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC(=O)OCC(C)O,0.003,0.100,0.797,0.100,-0.187240355603099,0.298,1.79,0.0407,124.04,0,1,15,90
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC(=O)OCC(C)O,0.002,0.200,0.699,0.100,-0.461745897690918,0.203,1.79,0.0407,124.04,0,1,15,90
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC(=O)OCC(C)O,0.005,0.299,0.597,0.100,0.432486118534284,0.48,1.79,0.0407,124.04,0,1,15,90
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCC(=O)OCC(CO)O.CCCCCCCC(=O)OCC(CO)O,0.006,0.099,0.795,0.099,-0.614709363281993,0.346,1.79,0.0407,124.04,0,1,15,0
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCC(=O)OCC(CO)O.CCCCCCCC(=O)OCC(CO)O,0.006,0.199,0.696,0.099,-0.605041243560661,0.417,1.79,0.0407,124.04,0,1,15,0
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCC(=O)OCC(CO)O.CCCCCCCC(=O)OCC(CO)O,0.005,0.299,0.597,0.100,-0.579904132285198,0.393,1.79,0.0407,124.04,0,1,15,0
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCC(=O)OCC(CO)O.CCCCCCCC(=O)OCC(CO)O,0.005,0.398,0.498,0.100,-0.619543423142659,0.26,1.79,0.0407,124.04,0,1,15,0
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCC(=O)OCC(CO)O.CCCCCCCC(=O)OCC(CO)O,0.004,0.498,0.399,0.100,-0.607527331489003,0.163,1.79,0.0407,124.04,0,1,15,0
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCC(=O)OCC(CO)O.CCCCCCCC(=O)OCC(CO)O,0.004,0.598,0.299,0.100,-0.493374460779276,0.419,1.79,0.0407,124.04,0,1,15,0
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCC(=O)OCC(CO)O.CCCCCCCC(=O)OCC(CO)O,0.006,0.298,0.597,0.099,-0.64502582440817,0.2195,1.79,0.0407,124.04,0,1,15,90
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCC(=O)OCC(CO)O.CCCCCCCC(=O)OCC(CO)O,0.004,0.399,0.498,0.100,-0.614225957295926,0.287,1.79,0.0407,124.04,0,1,15,90
CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCC(=O)OCC(CO)O.CCCCCCCC(=O)OCC(CO)O,0.005,0.498,0.398,0.100,0.398164293523555,0.21,1.79,0.0407,124.04,0,1,15,90
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,CCOCCOCCO,CCCCCCC(C/C=C\CCCCCCCC(OCC(COC(CCCCCCC/C=C\CC(CCCCCC)O)=O)OC(CCCCCCC/C=C\CC(CCCCCC)O)=O)=O)O,CCCCCCCC(=O)OCC(C)O,0.070,0.279,0.279,0.372,-0.51844251405673,,4.46,0.0122,117.68,0,1,13,4.8
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,OCCOCCO,CCCCCCC(C/C=C\CCCCCCCC(OCC(COC(CCCCCCC/C=C\CC(CCCCCC)O)=O)OC(CCCCCCC/C=C\CC(CCCCCC)O)=O)=O)O,CCCCCCCC(=O)OCC(C)O,0.070,0.279,0.279,0.372,0.469086857479326,,4.46,0.0122,117.68,0,1,13,90
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,C(C(CO)O)O,CCCCCCC(C/C=C\CCCCCCCC(OCC(COC(CCCCCCC/C=C\CC(CCCCCC)O)=O)OC(CCCCCCC/C=C\CC(CCCCCC)O)=O)=O)O,CCCCCCCC(=O)OCC(C)O,0.070,0.279,0.279,0.372,0.234289664246977,,4.46,0.0122,117.68,0,1,13,56
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,CCOCCOCCO,CCCCCCC(C/C=C\CCCCCCCC(OCC(COC(CCCCCCC/C=C\CC(CCCCCC)O)=O)OC(CCCCCCC/C=C\CC(CCCCCC)O)=O)=O)O,CCCCCCCC(=O)OCC(C)O,0.130,0.261,0.261,0.348,0.289536062654589,,4.46,0.0122,117.68,0,1,13,4.8
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,CCOCCOCCO,CCCCCCC(C/C=C\CCCCCCCC(OCC(COC(CCCCCCC/C=C\CC(CCCCCC)O)=O)OC(CCCCCCC/C=C\CC(CCCCCC)O)=O)=O)O,CCCCCCCCCCCC(=O)OCC(C)O,0.070,0.279,0.279,0.372,4.54350874004068,,4.46,0.0122,117.68,0,1,13,4.8
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC(=O)OC(C)CO,0.010,0.099,0.782,0.109,-0.691778089060611,,4.46,0.0122,117.68,0,1,15,0
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC(=O)OC(C)CO,0.010,0.584,0.297,0.109,0.089267868426997,,4.46,0.0122,117.68,0,1,15,0
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC(=O)OC(C)CO,0.010,0.099,0.792,0.099,-0.696612148921277,,4.46,0.0122,117.68,0,1,15,0
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC(=O)OC(C)CO,0.010,0.109,0.792,0.089,-0.691087509080516,,4.46,0.0122,117.68,0,1,15,0
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC(=O)OC(C)CO,0.010,0.594,0.297,0.099,0.1030794680289,,4.46,0.0122,117.68,0,1,15,0
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,OCCOCCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC(=O)OC(C)CO,0.010,0.594,0.307,0.089,0.027115670218434,,4.46,0.0122,117.68,0,1,15,0
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,,CCCCCCC(CCCCCCCCCC(=O)[O-])C(=O)OCC(CO)O,CCCCCCCC/C=C\CCCCCCCC(=O)O.C(C(CO)O)O,0.050,0.000,0.428,0.095,-0.652622204189216,0.181,4.46,0.0122,117.68,1,0,14.5,0
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,,CCCCCCC(CCCCCCCCCC(=O)[O-])C(=O)OCC(CO)O,CCCCCCCC/C=C\CCCCCCCC(=O)O.C(C(CO)O)O,0.050,0.000,0.570,0.095,-0.635633936678876,0.183,4.46,0.0122,117.68,1,0,14.3,0
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,,CCCCCCC(CCCCCCCCCC(=O)[O-])C(=O)OCC(CO)O,CCCCCCCC/C=C\CCCCCCCC(=O)O.C(C(CO)O)O,0.050,0.000,0.641,0.095,-0.625827700961525,0.168,4.46,0.0122,117.68,1,0,14.2,0
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,,CCCCCCC(CCCCCCCCCC(=O)[O-])C(=O)OCC(CO)O,CCCCCCCC(=O)OCC(C)O,0.050,0.000,0.641,0.095,-0.425835738725971,0.286,4.46,0.0122,117.68,0,1,14.2,0
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,CCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC/C=C\CCCCCCCC(=O)O.C(C(CO)O)O,0.010,0.264,0.528,0.198,-0.465336913587413,0.257,4.46,0.0122,117.68,1,0,15,1.1
